C-A10-0;C-B00-0;C-C11-0;F-ISIS-568
A10-1999;B00-5;C11-2;264792
A10-1999;B00-5;Total;512049
A10-1999;B00-6;C11-1;573816
A10-1999;B00-6;C11-2;609330
A10-1999;B00-6;Total;1183146
A10-1999;B00-7;C11-1;324077
A10-1999;B00-7;C11-2;341696
A10-1999;B00-7;Total;665773
A10-1999;B00-8;C11-1;171342
A10-1999;B00-8;C11-2;176101
A10-1999;B00-8;Total;347443
A10-1999;B00-9;C11-1;724819
A10-1999;B00-9;C11-2;820567
A10-1999;B00-9;Total;1545386
A10-1999;Total;C11-1;3862180
A10-1999;Total;C11-2;4130143
A10-1999;Total;Total;7992323
A10-2000;B00-1;C11-1;134638
A10-2000;B00-1;C11-2;141445
A10-2000;B00-1;Total;276083
A10-2000;B00-2;C11-1;270485
A10-2000;B00-2;C11-2;289644
A10-2000;B00-2;Total;560129
A10-2000;B00-3;C11-1;750145
A10-2000;B00-3;C11-2;787121
A10-2000;B00-3;Total;1537266
A10-2000;B00-4;C11-1;669317
A10-2000;B00-4;C11-2;702262
A10-2000;B00-4;Total;1371579
A10-2000;B00-5;C11-1;248202
A10-2000;B00-5;C11-2;265651
A10-2000;B00-5;Total;513853
A10-2000;B00-6;C11-1;573778
A10-2000;B00-6;C11-2;608906
A10-2000;B00-6;Total;1182684
A10-2000;B00-7;C11-1;326010
A10-2000;B00-7;C11-2;343469
A10-2000;B00-7;Total;669479
A10-2000;B00-8;C11-1;172246
A10-2000;B00-8;C11-2;177011
A10-2000;B00-8;Total;349257
A10-2000;B00-9;C11-1;729896
A10-2000;B00-9;C11-2;821340
A10-2000;B00-9;Total;1551236
A10-2000;Total;C11-1;3874717
A10-2000;Total;C11-2;4136849
A10-2000;Total;Total;8011566
A10-2001;B00-1;C11-1;134833
A10-2001;B00-1;C11-2;141498
A10-2001;B00-1;Total;276331
A10-2001;B00-2;C11-1;270394
A10-2001;B00-2;C11-2;289351
A10-2001;B00-2;Total;559745
A10-2001;B00-3;C11-1;752593
A10-2001;B00-3;C11-2;789440
A10-2001;B00-3;Total;1542033
A10-2001;B00-4;C11-1;671437
A10-2001;B00-4;C11-2;704036
A10-2001;B00-4;Total;1375473
A10-2001;B00-5;C11-1;249385
A10-2001;B00-5;C11-2;266564
A10-2001;B00-5;Total;515949
A10-2001;B00-6;C11-1;575633
A10-2001;B00-6;C11-2;609642
A10-2001;B00-6;Total;1185275
A10-2001;B00-7;C11-1;328200
A10-2001;B00-7;C11-2;345395
A10-2001;B00-7;Total;673595
A10-2001;B00-8;C11-1;173376
A10-2001;B00-8;C11-2;177980
A10-2001;B00-8;Total;351356
A10-2001;B00-9;C11-1;738069
A10-2001;B00-9;C11-2;824467
A10-2001;B00-9;Total;1562536
A10-2001;Total;C11-1;3893920
A10-2001;Total;C11-2;4148373
A10-2001;Total;Total;8042293
A10-2002;B00-1;C11-1;134977
A10-2002;B00-1;C11-2;141520
A10-2002;B00-1;Total;276497
A10-2002;B00-2;C11-1;270182
A10-2002;B00-2;C11-2;288997
A10-2002;B00-2;Total;559179
A10-2002;B00-3;C11-1;755438
A10-2002;B00-3;C11-2;791585
A10-2002;B00-3;Total;1547023
A10-2002;B00-4;C11-1;674613
A10-2002;B00-4;C11-2;705948
A10-2002;B00-4;Total;1380561
A10-2002;B00-5;C11-1;249995
A10-2002;B00-5;C11-2;266769
A10-2002;B00-5;Total;516764
A10-2002;B00-6;C11-1;578151
A10-2002;B00-6;C11-2;610410
A10-2002;B00-6;Total;1188561
A10-2002;B00-7;C11-1;330244
A10-2002;B00-7;C11-2;346816
A10-2002;B00-7;Total;677060
A10-2002;B00-8;C11-1;174552
A10-2002;B00-8;C11-2;179083
A10-2002;B00-8;Total;353635
A10-2002;B00-9;C11-1;750788
A10-2002;B00-9;C11-2;832053
A10-2002;B00-9;Total;1582841
A10-2002;Total;C11-1;3918940
A10-2002;Total;C11-2;4163181
A10-2002;Total;Total;8082121
A10-2003;B00-1;C11-1;135042
A10-2003;B00-1;C11-2;141439
A10-2003;B00-1;Total;276481
A10-2003;B00-2;C11-1;269866
A10-2003;B00-2;C11-2;288453
A10-2003;B00-2;Total;558319
A10-2003;B00-3;C11-1;758829
A10-2003;B00-3;C11-2;794067
A10-2003;B00-3;Total;1552896
A10-2003;B00-4;C11-1;677529
A10-2003;B00-4;C11-2;707559
A10-2003;B00-4;Total;1385088
A10-2003;B00-5;C11-1;250739
A10-2003;B00-5;C11-2;267169
